,Unnamed: 0,artist,date,ranking,title
588,7379,Three The... G. Dep,2001-05-26,80,Let's Get It
593,7463,Jagged Edge With Nelly,2001-06-02,64,Where The Party At
609,7685,Jimmy Cozier,2001-06-16,86,She's All I Got
616,7796,D-12,2001-06-23,97,Purple Hills
626,8074,"Missy ""Misdemeanor"" Elliott",2001-07-14,75,One Minute Man
660,8590,Lil Bow Wow,2001-08-18,91,Ghetto Girls
676,8860,Ja Rule,2001-09-08,61,Living It Up
685,9062,'N Sync,2001-09-22,63,Gone
700,9293,R.L.,2001-10-06,94,Do U Wanna Roll (Dolittle Theme)
731,9794,Ludacris,2001-11-10,95,Roll Out (My Business)
732,9796,Juvenile,2001-11-10,97,From Her Mama (Mama Got A**)
743,10098,Fabolous,2001-12-01,99,Young'n (Holla Back)
746,10174,Jo Dee Messina With Tim McGraw,2001-12-08,75,Bring On The Rain
747,10267,"Missy ""Misdemeanor"" Elliott",2001-12-15,68,Take Away
762,10480,Mariah Carey,2001-12-29,81,Never Too Far/Hero (Medley)
770,10591,Mariah Carey,2002-01-05,92,Never Too Far/Hero Medley
771,10594,Lil Bow Wow,2002-01-05,95,Thank You
793,11069,'N Sync,2002-02-09,70,Girlfriend
817,11459,Pink,2002-03-09,60,Don't Let Me Get Me
820,11497,Knoc-Turn'Al With Dr. Dre,2002-03-09,98,Knoc
852,12096,Brian McKnight,2002-04-20,97,Tell Me What's It Gonna Be
853,12119,The Goo Goo Dolls,2002-04-27,20,Here Is Gone
862,12265,Brad Paisley,2002-05-04,66,I'm Gonna Miss Her (The Fishin' Song)
867,12296,Sean Paul,2002-05-04,97,Give Me The Light
897,12754,P. Diddy,2002-06-08,55,I Need A Girl (Part Two)
909,12973,Irv Gotti Presents The INC.,2002-06-22,74,Down 4 U
915,13160,Pink,2002-07-06,61,Just Like A Pill
921,13249,Elvis Presley Vs JXL,2002-07-13,50,A Little Less Conversation
927,13313,Irv Gotti Presents The Inc.,2002-07-20,14,Down 4 U
928,13359,Elvis Presley vs JXL,2002-07-20,60,A Little Less Conversation
953,13767,BBMak,2002-08-17,68,Out Of My Heart (Into Your Head)
956,13798,Yasmeen Featuing Ghostface Killah,2002-08-17,99,Blue Jeans
978,14174,"Missy ""Misdemeanor"" Elliott",2002-09-14,75,Work It
1034,15057,Pink,2002-11-16,58,Family Portrait
1073,15674,"Missy ""Misdemeanor"" Elliott",2002-12-28,75,Gossip Folks
1186,17473,Toby Keith Duet With Willie Nelson,2003-05-03,74,Beer For My Horses
1193,17576,"Missy ""Misdemeanor"" Elliott",2003-05-10,77,P***ycat
1205,17860,Lumidee,2003-05-31,61,"Never Leave You - Uh Oooh, Uh Oooh!"
1235,18280,Mya,2003-06-28,81,My Love Is Like... Wo
1236,18362,Mary J. Blige,2003-07-05,63,Love At 1st Sight
1276,19075,Maroon5,2003-08-23,76,Harder To Breathe
1323,19874,Tupac,2003-10-18,75,Runnin
1326,19893,M.V.P. (Most Valuable Playas),2003-10-18,94,"Roc Ya Body ""Mic Check 1,2"""
1327,19894,Barenaked Ladies,2003-10-18,95,Another Postcard (Chimps)
1341,20142,Tupac,2003-11-08,43,Runnin (Dying To Live)
1358,20396,Too Short,2003-11-22,97,Shake That Monkey
1359,20397,Scotty Emerick With Toby Keith,2003-11-22,98,I Can't Take You Anywhere
1416,21492,Tupac With Eminem,2004-02-07,93,One Day At A Time
1420,21565,Maroon5,2004-02-14,66,This Love
1436,21870,Nelly,2004-03-06,71,Work It (Reinvention)
1530,23367,Jimmy Buffett With Clint Black,2004-06-19,68,Hey Good Lookin'
1534,23434,Mason Betha,2004-06-26,35,Welcome Back
1560,23849,Maroon5,2004-07-24,50,She Will Be Loved
1571,23993,Shawnna,2004-07-31,94,Shake That Sh**
1608,24671,Trick Daddy,2004-09-18,72,Let's Go (2004)
1623,24901,Usher And Alicia Keys,2004-10-09,2,My Boo
1651,25372,Shania Twain With Billy Currington Or Mark McGrath,2004-11-06,73,Party For Two
1673,25685,Jay-Z/Linkin Park,2004-11-27,86,Numb/Encore
1703,26274,Maroon5,2005-01-08,75,Sunday Morning
1707,26398,Daryl Hall  John Oates,2005-01-15,99,I'll Be Around
1755,26992,Toby Keith,2005-02-26,93,Honky Tonk U
1760,27021,Various Artists,2005-03-05,22,Across The Universe
1787,27470,Ben Folds,2005-04-02,71,Bitches Ain't S**t
1801,27691,Pretty Rickie,2005-04-16,92,Grind With Me
1811,27853,The Used And My Chemical Romance,2005-04-30,54,Under Pressure
1816,27891,Anna Nalick,2005-04-30,92,Breathe (2 A.M.)
1829,27999,R. Kelly,2005-05-07,100,Trapped In The Closet (Chapter 1 Of 5)
1842,28273,Gorillaz/De La Soul,2005-05-28,74,Feel Good Inc
1882,28897,My Chemical Romance,2005-07-09,98,Helena (So Long & Goodnight)
1895,29047,Paul McCartney With U2,2005-07-23,48,Sgt. Pepper's Lonely Hearts Club Band
1897,29090,Young Jeezy,2005-07-23,91,And Then What
1904,29195,"Damian ""Jr. Gong"" Marley",2005-07-30,96,Welcome To Jamrock
1939,29730,50 Cent Feat. Mobb Deep,2005-09-10,31,Outta Control (Remix)
1994,30499,Kanye West,2005-10-29,100,Hear 'Em Say
2016,30847,Shakira Feat. Alejandro Sanz,2005-11-26,48,La Tortura
2019,30890,Purple Ribbon All-Stars,2005-11-26,91,Kryptonite (I'm On It)
2041,31277,Christian Castro,2005-12-24,78,Amor Eterno
2054,31498,Young Jeezy,2006-01-07,99,My Hood
2071,31885,Zac Efron,2006-02-04,86,Breaking Free
2075,31899,Zac Efron,2006-02-04,100,Get'cha Head In The Game
2076,31927,Zac Efron,2006-02-11,28,Start Of Something New
2078,31934,Lucas Gabreel,2006-02-11,35,What I've Been Looking For
2081,31961,Lucas Gabreel,2006-02-11,62,Bop To The Top
2082,31966,Zac Efron,2006-02-11,67,What I've Been Looking For (Reprise)
2083,31971,Vanessa Anne Hudgens,2006-02-11,72,When There Was Me And You
2086,32039,Andrew Seeley,2006-02-18,40,Get'cha Head In The Game
2087,32052,Lucas Grabeel,2006-02-18,53,What I've Been Looking For
2088,32086,Lucas Grabeel,2006-02-18,87,Bop To The Top
