,artist,date,ranking,title
4595,Damizza Presents Shade Sheist,2000-11-11,96,Where I Wanna Be
4671,Lenny Kravitz,2000-11-18,72,Again
4674,Lonestar,2000-11-18,75,Tell Her
4686,The Clark Family Experience,2000-11-18,87,Meanwhile Back At The Ranch
4697,Master P,2000-11-18,98,Souljas
4773,The Offspring,2000-11-25,74,Original Prankster
4776,Carl Thomas,2000-11-25,77,Emotional
4778,Lil  Kim,2000-11-25,79,How Many Licks?
4795,Mikaila,2000-11-25,96,So In Love With Two
4796,Lil Bow Wow,2000-11-25,97,Bow Wow (That s My Name)
4867,Nine Days,2000-12-02,68,If I Am
4869,Britney Spears,2000-12-02,70,Stronger
4872,David Gray,2000-12-02,73,Babylon
4876,Jo Dee Messina,2000-12-02,77,Burn
4885,Vitamin C,2000-12-02,86,The Itch
4893,Moby,2000-12-02,94,South Side
4897,Toni Braxton,2000-12-02,98,Spanish Guitar
4945,Jennifer Lopez,2000-12-09,46,Love Don t Cost A Thing
4961,98 Degrees,2000-12-09,62,My Everything
4968,K-Ci,2000-12-09,69,Crazy
4973,Lee Ann Womack,2000-12-09,74,Ashes By Now
4977,Madonna,2000-12-09,78,Don t Tell Me
4981,112,2000-12-09,82,It s Over Now
4985,Dave Hollister,2000-12-09,86,One Woman Man
5073,Cash Money Millionaires,2000-12-16,74,Project Chick
5074,Terri Clark,2000-12-16,75,A Little Gasoline
5076,Mystikal,2000-12-16,77,Danger (Been So Long)
5095,Memphis Bleek,2000-12-16,96,Is That Your Chick
5098,Jaheim,2000-12-16,99,Could It Be
5100,Destiny's Child,2000-12-23,1,Independent Women Part I
5101,Shaggy,2000-12-23,2,It Wasn't Me
5109,'N Sync,2000-12-23,10,This I Promise You
5110,matchbox twenty,2000-12-23,11,If You're Gone
5120,O-Town,2000-12-23,21,Liquid Dreams
5121,Jennifer Lopez,2000-12-23,22,Love Don't Cost A Thing
5123,Ludacris,2000-12-23,24,What's Your Fantasy
5129,Kandi,2000-12-23,30,Don't Think I'm Not
5134,Madonna,2000-12-23,35,Don't Tell Me
5140,Vertical Horizon,2000-12-23,41,You're A God
5142,Lil Bow Wow,2000-12-23,43,Bow Wow (That's My Name)
5147,3LW,2000-12-23,48,No More (Baby I'ma Do Right)
5158,Public Announcement,2000-12-23,59,Mamacita
5166,Limp Bizkit,2000-12-23,67,Rollin'
5167,112,2000-12-23,68,It's Over Now
5169,Kelly Price,2000-12-23,70,You Should've Told Me
5171,Jamie O'Neal,2000-12-23,72,There Is No Arizona
5172,Jagged Edge,2000-12-23,73,Promise
5175,Rascal Flatts,2000-12-23,76,This Everyday Love
