,year,band_singer,ranking,song,songurl,url
1962,1997,Seal,79.0,Fly Like an Eagle,/wiki/Fly_Like_an_Eagle_(song)#Cover_versions,/wiki/Seal_(musician)
1982,1997,Lil' Kim,80.0,No Time,/wiki/No_Time_(Lil%27_Kim_song),/wiki/Lil%27_Kim
2002,1997,Puff Daddy,80.0,No Time,/wiki/No_Time_(Lil%27_Kim_song),/wiki/Sean_Combs
2022,1997,Luscious Jackson,81.0,Naked Eye,/wiki/Naked_Eye_(song),/wiki/Luscious_Jackson
2042,1997,Los del Río,82.0,Macarena,/wiki/Macarena_(song),/wiki/Los_del_R%C3%ADo
2062,1997,Erykah Badu,83.0,On & On,/wiki/On_%26_On_(Erykah_Badu_song),/wiki/Erykah_Badu
2082,1997,Warren G,85.0,I Shot the Sheriff,/wiki/I_Shot_the_Sheriff_(Warren_G_song),/wiki/Warren_G
2102,1997,Brian McKnight,86.0,You Should Be Mine (Don't Waste Your Time),/wiki/You_Should_Be_Mine_(Don%27t_Waste_Your_Time),/wiki/Brian_McKnight
2121,1997,Mase,86.0,You Should Be Mine (Don't Waste Your Time),/wiki/You_Should_Be_Mine_(Don%27t_Waste_Your_Time),/wiki/Mase
2140,1997,Madonna,87.0,Don't Cry for Me Argentina,/wiki/Don%27t_Cry_for_Me_Argentina,/wiki/Madonna_(entertainer)
2159,1997,Michael Bolton,89.0,Go the Distance,/wiki/Go_the_Distance,/wiki/Michael_Bolton
2178,1997,Real McCoy,90.0,One More Time,/wiki/One_More_Time_(Real_McCoy_song),/wiki/Real_McCoy_(band)
2197,1997,Mr. President,92.0,Coco Jambo,/wiki/Coco_Jambo,/wiki/Mr._President_(band)
2216,1997,Keith Sweat,93.0,Twisted,/wiki/Twisted_(Keith_Sweat_song),/wiki/Keith_Sweat
2235,1997,Aqua,94.0,Barbie Girl,/wiki/Barbie_Girl,/wiki/Aqua_(band)
2253,1997,The Cranberries,95.0,When You're Gone,/wiki/When_You%27re_Gone_(The_Cranberries_song),/wiki/The_Cranberries
2271,1997,The Cranberries,95.0,Free to Decide,/wiki/Free_to_Decide,/wiki/The_Cranberries
2288,1997,DJ Kool,96.0,Let Me Clear My Throat,/wiki/Let_Me_Clear_My_Throat,/wiki/DJ_Kool
2305,1997,The Blackout All-Stars,97.0,I Like It,/wiki/I_Like_It_Like_That_(Pete_Rodriguez_song)#The_Blackout_All-Stars_version,/wiki/The_Blackout_All-Stars
2322,1997,Toni Braxton,98.0,You're Makin' Me High,/wiki/You%27re_Makin%27_Me_High,/wiki/Toni_Braxton
2339,1997,Toni Braxton,98.0,Let It Flow,/wiki/Let_It_Flow_(song),/wiki/Toni_Braxton
2356,1997,Madonna,99.0,You Must Love Me,/wiki/You_Must_Love_Me,/wiki/Madonna_(entertainer)
2372,1997,Ray J,100.0,Let It Go,/wiki/Let_It_Go_(Ray_J_song),/wiki/Ray_J
3,1998,Next,1.0,Too Close,/wiki/Too_Close_(Next_song),/wiki/Next_(group)
23,1998,Brandy,2.0,The Boy Is Mine,/wiki/The_Boy_Is_Mine_(song),/wiki/Brandy_Norwood
43,1998,Monica,2.0,The Boy Is Mine,/wiki/The_Boy_Is_Mine_(song),/wiki/Monica_(entertainer)
63,1998,Shania Twain,3.0,You're Still the One,/wiki/You%27re_Still_the_One,/wiki/Shania_Twain
83,1998,Savage Garden,4.0,Truly Madly Deeply,/wiki/Truly_Madly_Deeply_(song),/wiki/Savage_Garden
103,1998,LeAnn Rimes,5.0,How Do I Live,/wiki/How_Do_I_Live,/wiki/LeAnn_Rimes
123,1998,Janet,6.0,Together Again,/wiki/Together_Again_(Janet_Jackson_song),/wiki/Janet_Jackson
143,1998,K-Ci & JoJo,7.0,All My Life,/wiki/All_My_Life_(K-Ci_%26_JoJo_song),/wiki/K-Ci_%26_JoJo
163,1998,Elton John,8.0,Candle in the Wind 1997,/wiki/Candle_in_the_Wind_1997,/wiki/Elton_John
183,1998,Usher,9.0,Nice and Slow,/wiki/Nice_and_Slow,/wiki/Usher_(entertainer)
203,1998,Paula Cole,10.0,I Don't Want to Wait,/wiki/I_Don%27t_Want_to_Wait,/wiki/Paula_Cole
223,1998,Third Eye Blind,11.0,How's It Going to Be,/wiki/How%27s_It_Going_to_Be,/wiki/Third_Eye_Blind
243,1998,Destiny's Child,12.0,"No, No, No","/wiki/No,_No,_No_(Destiny%27s_Child_song)",/wiki/Destiny%27s_Child
263,1998,Celine Dion,13.0,My Heart Will Go On,/wiki/My_Heart_Will_Go_On,/wiki/Celine_Dion
283,1998,Will Smith,14.0,Gettin' Jiggy wit It,/wiki/Gettin%27_Jiggy_wit_It,/wiki/Will_Smith
303,1998,Usher,15.0,You Make Me Wanna,/wiki/You_Make_Me_Wanna,/wiki/Usher_(entertainer)
323,1998,Usher,16.0,My Way,/wiki/My_Way_(Usher_song),/wiki/Usher_(entertainer)
343,1998,Mariah Carey,17.0,My All,/wiki/My_All,/wiki/Mariah_Carey
363,1998,Monica,18.0,The First Night,/wiki/The_First_Night,/wiki/Monica_(entertainer)
383,1998,Puff Daddy,19.0,Been Around the World,/wiki/Been_Around_the_World,/wiki/Sean_Combs
403,1998,The Notorious B.I.G.,19.0,Been Around the World,/wiki/Been_Around_the_World,/wiki/The_Notorious_B.I.G.
423,1998,Mase,19.0,Been Around the World,/wiki/Been_Around_the_World,/wiki/Mase
443,1998,Sarah McLachlan,20.0,Adia,/wiki/Adia,/wiki/Sarah_McLachlan
463,1998,Jennifer Paige,21.0,Crush,/wiki/Crush_(Jennifer_Paige_song),/wiki/Jennifer_Paige
483,1998,Backstreet Boys,22.0,Everybody (Backstreet's Back),/wiki/Everybody_(Backstreet%27s_Back),/wiki/Backstreet_Boys
503,1998,Aerosmith,23.0,I Don't Want to Miss a Thing,/wiki/I_Don%27t_Want_to_Miss_a_Thing,/wiki/Aerosmith
